nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,      z-velocity,      y-velocity,      x-velocity,cell-wall-distance,boundary-normal-dist
      8415,-1.578718597E+00, 2.000000062E-01, 2.361894357E+00, 1.824663100E+00, 8.375575225E-02, 3.945744463E-03, 5.000785061E+01, 2.361894343E+00, 2.000000045E-01
      8416,-4.785308768E+00, 2.000000017E-01, 2.363235116E+00, 2.263302187E+00, 2.916093662E-03, 2.226776245E-04, 4.999990916E+01, 2.363235111E+00, 1.925031613E-01
      8417, 3.563319574E+00, 2.000000033E-01, 2.363608410E+00, 1.835054929E-01,-1.472793878E-02,-8.548134628E-04, 5.003508565E+01, 2.363608405E+00, 2.000000022E-01
      8418, 3.806397880E+00, 2.000000085E-01, 2.363928704E+00, 1.735734218E-01,-1.276931501E-02,-7.634945989E-04, 5.003515926E+01, 2.363928696E+00, 2.000000038E-01
      8419,-1.920351712E+00, 1.999999989E-01, 2.364663911E+00, 2.314740881E+00, 6.910875324E-02, 3.829170262E-03, 4.999920608E+01, 2.364663906E+00, 2.000000024E-01
      8420, 1.270500506E+00, 2.000000090E-01, 2.366456637E+00,-2.845471103E+00,-3.522584926E-02,-8.809062298E-04, 5.008555470E+01, 2.122865290E+00, 2.000000054E-01
      8421, 4.686319415E+00, 1.999999975E-01, 2.367202295E+00, 5.862734311E-02,-9.031945215E-03,-4.809113386E-04, 5.003704835E+01, 2.367202304E+00, 2.000000023E-01
      8422,-4.118572889E+00, 2.000000015E-01, 2.367303092E+00, 2.332733798E+00, 1.172959659E-02, 8.232116756E-04, 4.999859680E+01, 2.367303078E+00, 2.000000058E-01
      8423,-3.801050183E-01, 2.000000099E-01, 2.367674714E+00,-2.983084305E+00, 9.440521026E-02, 3.563432236E-03, 5.009019528E+01, 1.976191599E+00, 2.000000069E-01
      8424,-8.737077592E-01, 2.000000097E-01, 2.368462480E+00,-5.020923405E-01, 1.043730535E-01, 4.081333351E-03, 5.004854094E+01, 2.135440347E+00, 2.000000082E-01
      8425,-6.514248776E-01, 2.000000022E-01, 2.368771607E+00,-1.566256010E+00, 1.034961424E-01, 3.673315079E-03, 5.006675080E+01, 2.052478498E+00, 2.000000082E-01
      8426, 1.427133379E+00, 2.000000021E-01, 2.370598318E+00,-2.376509890E+00,-3.737866866E-02,-1.260378230E-03, 5.007745198E+01, 2.191579777E+00, 2.000000001E-01
      8427,-3.508395860E+00, 2.000000033E-01, 2.370903058E+00, 2.460247048E+00, 2.162264575E-02, 1.345952214E-03, 4.999632241E+01, 2.370903044E+00, 2.000000059E-01
