cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,      z-velocity,      y-velocity,      x-velocity,cell-wall-distance,boundary-normal-dist
       250, 1.131904721E-01,-5.543234540E-16, 4.518971145E-01,-7.167963257E+02, 4.051225662E+00,-2.243316644E-12, 5.800277710E+01, 3.130642697E-03, 1.048349349E-03
       251, 1.486656666E-01,-1.100260964E-15, 4.758903086E-01,-7.717748413E+02, 3.183712721E+00,-2.027544799E-14, 6.073060608E+01, 2.393291146E-02, 6.255419304E-03
       252, 1.308445185E-01,-8.675945132E-16, 4.634782076E-01,-7.566910400E+02, 5.205735683E+00, 9.340722640E-13, 5.998615265E+01, 1.292739343E-02, 4.373428497E-03
       253, 1.126840934E-01,-6.372025574E-16, 4.544537067E-01,-7.232047729E+02, 6.757544041E+00,-1.946859340E-12, 5.831677246E+01, 5.733494647E-03, 1.919883761E-03
       254, 9.336579591E-02,-4.846692349E-16, 4.477110803E-01,-8.079837036E+02, 9.161913872E+00, 1.700362073E-12, 4.524714279E+01, 9.249355644E-04, 3.077589647E-04
       255, 1.302935332E-01,-1.000923481E-15, 4.680664539E-01,-7.386304321E+02, 4.580326557E+00, 3.159000839E-13, 6.003656769E+01, 1.758483239E-02, 5.550575289E-03
       256, 1.121584773E-01,-7.375852790E-16, 4.575576484E-01,-7.157994995E+02, 5.406409264E+00,-1.426331275E-12, 5.889826965E+01, 8.882426657E-03, 2.974884200E-03
       257, 9.273520112E-02,-5.508713183E-16, 4.497067928E-01,-7.923720093E+02, 4.278064251E+00, 2.072175764E-12, 5.916553879E+01, 2.970883623E-03, 9.895675915E-04
       258, 1.295204312E-01,-1.085698774E-15, 4.735893309E-01,-7.107169189E+02, 4.725652218E+00,-3.055888875E-14, 5.995921707E+01, 2.319654077E-02, 5.998523638E-03
       259, 1.116484180E-01,-8.591753763E-16, 4.613274038E-01,-7.109666138E+02, 5.903020382E+00,-8.745643099E-13, 5.898237228E+01, 1.269266289E-02, 4.251500499E-03
       260, 9.200895578E-02,-6.309560071E-16, 4.521274567E-01,-7.866779785E+02, 7.292577744E+00, 1.636829561E-12, 5.889915085E+01, 5.449948832E-03, 1.815847427E-03
       261, 7.320569456E-02,-5.143161556E-17, 4.453267455E-01,-9.173112793E+02, 1.198165989E+01,-5.011019377E-12, 4.779906464E+01, 8.270890685E-04, 2.749306351E-04
       262, 1.108776331E-01,-9.887849698E-16, 4.658441246E-01,-6.978357544E+02, 5.526896000E+00,-2.860454928E-13, 5.913956070E+01, 1.728135534E-02, 5.318629679E-03
       263, 9.124553949E-02,-7.280371001E-16, 4.550785124E-01,-7.664570312E+02, 6.220149040E+00, 1.253067095E-12, 5.930247116E+01, 8.459864184E-03, 2.818397921E-03
       264, 7.241705060E-02,-1.657165169E-16, 4.470812976E-01,-8.882323608E+02, 6.221765041E+00,-4.667100040E-12, 6.070819473E+01, 2.663136460E-03, 8.858916612E-04
       265, 1.097133532E-01,-1.070676856E-15, 4.712613523E-01,-6.748554077E+02, 5.978161812E+00,-3.907638102E-14, 5.912879181E+01, 2.280355617E-02, 5.678057658E-03
       266, 9.050216526E-02,-8.457945321E-16, 4.586872458E-01,-7.474104004E+02, 6.779498100E+00, 7.377293221E-13, 5.920064163E+01, 1.212349255E-02, 4.038712649E-03
       267, 7.151314616E-02,-3.042856278E-16, 4.492179155E-01,-8.733248291E+02, 9.494583130E+00,-3.993139153E-12, 5.983142853E+01, 4.892471712E-03, 1.627019943E-03
       268, 5.600754544E-02, 3.820589754E-16, 4.425080717E-01,-1.012432190E+03, 1.643082809E+01, 2.219419093E-12, 4.942365265E+01, 7.146452554E-04, 2.391234944E-04
       269, 8.941081166E-02,-9.711746254E-16, 4.630036950E-01,-7.212952271E+02, 6.691408634E+00, 2.298994328E-13, 5.916869736E+01, 1.652825624E-02, 5.003223691E-03
       270, 7.050900906E-02,-4.725112416E-16, 4.518278539E-01,-8.388726196E+02, 8.509353638E+00,-2.842809321E-12, 6.004101562E+01, 7.603448816E-03, 2.527440524E-03
       271, 5.512835085E-02, 2.205494197E-16, 4.439642727E-01,-9.666264648E+02, 9.531264305E+00, 3.184452702E-12, 6.186512375E+01, 2.304530703E-03, 7.712795311E-04
       272, 8.778958768E-02,-1.050258704E-15, 4.681545794E-01,-6.882907715E+02, 7.092250347E+00,-4.721223412E-14, 5.904761887E+01, 2.181712724E-02, 5.291641323E-03
       273, 6.944020092E-02,-6.775683890E-16, 4.550348818E-01,-8.044466553E+02, 9.030204773E+00,-1.606804967E-12, 5.968479156E+01, 1.091284305E-02, 3.625158127E-03
       274, 5.410961807E-02, 2.477264487E-17, 4.457419813E-01,-9.410030518E+02, 1.313853073E+01, 2.395000864E-12, 6.030390549E+01, 4.235353786E-03, 1.416834689E-03
       275, 4.135124385E-02,-4.673059594E-17, 4.390764236E-01,-1.054000244E+03, 2.221941566E+01,-6.110112416E-13, 4.982122421E+01, 6.157903117E-04, 2.076617536E-04
       276, 6.800489873E-02,-8.963105713E-16, 4.588748813E-01,-7.600679321E+02, 9.075431824E+00,-3.929773174E-13, 5.932822037E+01, 1.489056647E-02, 4.542483423E-03
       277, 5.293451250E-02,-2.129316289E-16, 4.479176104E-01,-8.908432617E+02, 1.210863400E+01, 1.988326170E-12, 6.033909988E+01, 6.584349554E-03, 2.201035050E-03
       278, 4.042648897E-02,-1.504389013E-16, 4.402442575E-01,-9.863253174E+02, 1.436727142E+01, 2.683964162E-13, 6.182317734E+01, 1.983316382E-03, 6.688114709E-04
       279, 6.601014733E-02,-1.018866498E-15, 4.634368718E-01,-7.080537720E+02, 9.493555069E+00,-6.417089082E-14, 5.881828690E+01, 1.965721883E-02, 4.853922253E-03
       280, 5.161140859E-02,-5.026785847E-16, 4.505996108E-01,-8.398236694E+02, 1.253259850E+01, 1.349080569E-12, 5.972634506E+01, 9.456122294E-03, 3.157215518E-03
       281, 3.933381289E-02,-2.759520051E-16, 4.416668713E-01,-9.455081177E+02, 1.803173447E+01, 3.183564523E-14, 5.952874374E+01, 3.640020732E-03, 1.226974737E-03
       282, 2.905228361E-02,-4.760924969E-16, 4.349494576E-01,-9.945822144E+02, 2.897372627E+01, 3.920509750E-12, 4.816596985E+01, 5.352332373E-04, 1.826604889E-04
       283, 4.994761199E-02,-8.137555109E-16, 4.538249969E-01,-7.769845581E+02, 1.255105209E+01, 6.690481502E-13, 5.906242371E+01, 1.291750651E-02, 4.030767444E-03
       284, 3.806228191E-02,-4.285977713E-16, 4.434179962E-01,-8.762362671E+02, 1.692179680E+01, 1.913261216E-13, 5.934088135E+01, 5.659041926E-03, 1.906186465E-03
       285, 2.812210098E-02,-5.234235333E-16, 4.358543456E-01,-9.001218262E+02, 2.082129860E+01, 3.975986207E-12, 5.943464661E+01, 1.718967687E-03, 5.867315983E-04
       286, 4.774981365E-02,-9.797344227E-16, 4.576439261E-01,-7.059036865E+02, 1.284307003E+01,-8.817946373E-14, 5.806805038E+01, 1.706245914E-02, 4.377918956E-03
       287, 3.660006821E-02,-6.149117208E-16, 4.455878735E-01,-8.046552124E+02, 1.707597923E+01, 2.555525236E-13, 5.846474075E+01, 8.130830713E-03, 2.735120807E-03
       288, 2.700818516E-02,-5.806420383E-16, 4.369513094E-01,-8.388389282E+02, 2.392183876E+01, 3.163594386E-12, 5.652880478E+01, 3.148225369E-03, 1.074250577E-03
       289, 1.905493811E-02,-1.766812578E-15, 4.301081002E-01,-7.564723511E+02, 3.567317963E+01, 1.088851231E-11, 4.316143036E+01, 4.693180963E-04, 1.614534519E-04
       290, 3.481677547E-02,-8.209679435E-16, 4.482113123E-01,-7.198361816E+02, 1.685875893E+01, 2.813027589E-13, 5.756210327E+01, 1.112170704E-02, 3.552693586E-03
       291, 2.570504323E-02,-6.503870488E-16, 4.383118749E-01,-7.493073120E+02, 2.268396568E+01, 2.383880419E-12, 5.605633545E+01, 4.892768338E-03, 1.668283058E-03
       292, 1.815189794E-02,-1.651631238E-15, 4.307817519E-01,-6.386175537E+02, 2.813934135E+01, 8.080924818E-12, 5.317842484E+01, 1.504905056E-03, 5.180225700E-04
       293, 3.252367675E-02,-9.361990468E-16, 4.513031840E-01,-6.226334229E+02, 1.687339592E+01,-1.171979180E-13, 5.629986572E+01, 1.472398173E-02, 3.914669935E-03
       294, 2.419280447E-02,-7.357275240E-16, 4.400136173E-01,-6.564398804E+02, 2.233670616E+01, 1.470060185E-12, 5.494504547E+01, 7.030649576E-03, 2.394119492E-03
       295, 1.706559584E-02,-1.512709576E-15, 4.315964580E-01,-5.562393799E+02, 2.982248878E+01, 6.593073310E-12, 5.014751816E+01, 2.753826091E-03, 9.476619209E-04
       296, 1.125464309E-02,-1.333720820E-15, 4.245464504E-01,-2.597799988E+02, 3.964698029E+01,-1.506461622E-11, 3.364991760E+01, 4.175702634E-04, 1.430397614E-04
       297, 2.236707881E-02,-8.312795109E-16, 4.420826733E-01,-5.510579834E+02, 2.170349503E+01, 5.200562203E-13, 5.381657410E+01, 9.624027647E-03, 3.144648837E-03
       298, 1.578042842E-02,-1.344364531E-15, 4.326099157E-01,-4.537923889E+02, 2.828751945E+01, 4.331359924E-12, 4.947059631E+01, 4.274614155E-03, 1.469262825E-03
       299, 1.040070597E-02,-1.266360102E-15, 4.250270426E-01,-1.464132538E+02, 3.374921036E+01,-1.344571676E-11, 4.174656677E+01, 1.338283997E-03, 4.586863114E-04
       300, 2.004724927E-02,-8.889645722E-16, 4.445041716E-01,-4.359067383E+02, 2.118217278E+01,-1.480759959E-13, 5.246083832E+01, 1.277039945E-02, 3.496161661E-03
       301, 1.426813379E-02,-1.139684948E-15, 4.338842928E-01,-3.508338623E+02, 2.716549301E+01, 1.933300742E-12, 4.839182663E+01, 6.134621799E-03, 2.104878362E-03
       302, 9.371476248E-03,-1.185205875E-15, 4.256089330E-01,-6.220185471E+01, 3.352817535E+01,-1.076000400E-11, 3.948802567E+01, 2.449554391E-03, 8.392682246E-04
       303, 5.611815490E-03, 3.905948176E-16, 4.183897972E-01, 4.153035583E+02, 3.764408875E+01,-5.620504062E-12, 2.104878807E+01, 3.821918508E-04, 1.293956360E-04
       304, 1.244172268E-02,-9.295106629E-16, 4.354395568E-01,-2.422906494E+02, 2.584848213E+01,-6.311617895E-14, 4.735163116E+01, 8.393272758E-03, 2.780256063E-03
       305, 8.139289916E-03,-1.086872867E-15, 4.263312221E-01, 2.874402428E+01, 3.152358437E+01,-7.914308098E-12, 3.899390793E+01, 3.799275029E-03, 1.300175708E-03
       306, 4.805912729E-03, 2.488246633E-16, 4.187178016E-01, 4.893245239E+02, 3.398838043E+01,-3.640088231E-12, 2.652755165E+01, 1.225478016E-03, 4.153019300E-04
