nodenumber,    x-coordinate,    y-coordinate,  turb-diss-rate,turb-kinetic-energy,      y-velocity,      x-velocity,        pressure,boundary-normal-dist
      1303,-9.080029726E-01, 3.131668642E-02, 1.874912158E-02, 4.474243615E-03,-7.227080345E+00, 4.266572571E+01, 6.375756836E+02, 1.569116302E-02
      1304,-8.174147010E-01, 3.134532273E-02, 5.805547163E-02, 5.088021979E-03, 1.879559278E+00, 4.782918167E+01, 3.811372681E+02, 1.047468185E-02
      1305,-1.097513437E+00, 3.137060255E-02, 4.606659058E-03, 4.280522000E-03, 8.419296741E-01, 4.362301636E+01, 6.203364258E+02, 4.258557037E-02
      1306,-1.706865877E-01, 3.143376485E-02, 2.331689453E+04, 1.003943253E+01, 1.062405014E+01,-1.457206917E+01, 1.851434814E+03, 9.607359534E-04
      1307, 2.717526257E-01, 3.144798800E-02, 1.659850616E+02, 8.086218834E+00,-9.354945421E-01, 1.387725353E+00,-7.412583618E+02, 5.126224086E-02
      1308, 1.454171836E-01, 3.149606660E-02, 3.091233398E+04, 1.432522678E+01,-1.044173717E+01,-1.432283497E+01,-7.378272705E+02, 9.458757122E-04
      1309, 1.658429652E-01, 3.151229024E-02, 7.309274292E+02, 7.688759804E+00,-2.548215151E+00,-3.042914867E+00,-7.365177002E+02, 1.334245969E-02
      1310,-6.008902192E-01, 3.153352439E-02, 6.674113125E-02, 8.285342716E-03, 2.424009085E+00, 2.964084625E+01, 1.241006348E+03, 4.586739093E-02
      1311,-8.721616268E-01, 3.154401854E-02, 4.230278730E-02, 4.673096817E-03,-3.215543985E+00, 4.862632751E+01, 3.294166565E+02, 1.016696543E-02
      1312,-7.861139178E-01, 3.154464811E-02, 5.373664200E-02, 5.244780798E-03, 3.256299019E+00, 4.534830856E+01, 5.180184326E+02, 1.280449517E-02
      1313,-7.975744605E-01, 3.156313300E-02, 5.550669506E-02, 5.174723454E-03, 2.862944603E+00, 4.635264969E+01, 4.632699890E+02, 1.170057338E-02
      1314,-8.103352785E-01, 3.157167882E-02, 5.830245838E-02, 5.125716794E-03, 2.291099787E+00, 4.735547256E+01, 4.077027588E+02, 1.069569495E-02
      1315,-7.658244371E-01, 3.157654405E-02, 5.038738623E-02, 5.371816922E-03, 3.727942467E+00, 4.341870117E+01, 6.207825928E+02, 1.508888230E-02
      1316, 1.110853672E+00, 3.162566200E-02, 6.132986816E+03, 1.106590729E+02, 2.197360992E-01,-1.330389118E+01,-6.840034790E+02, 5.670964345E-02
      1317,-7.831141949E-01, 3.162973002E-02, 5.387576297E-02, 5.269763526E-03, 3.351242065E+00, 4.507568359E+01, 5.327197876E+02, 1.303152088E-02
      1318, 2.886504829E-01, 3.166025877E-02, 1.600367432E+02, 8.220290184E+00,-8.746590018E-01, 1.695249319E+00,-7.426903076E+02, 5.158062652E-02
      1319,-9.274159670E-01, 3.166351095E-02, 1.172278821E-02, 4.466917366E-03,-5.400965214E+00, 3.743921280E+01, 9.088531494E+02, 2.192555368E-02
      1320,-7.537329197E-01, 3.176971152E-02, 4.970064759E-02, 5.465142429E-03, 3.906571150E+00, 4.221872330E+01, 6.830367432E+02, 1.649639383E-02
      1321,-7.613937259E-01, 3.178986907E-02, 5.030271411E-02, 5.394656211E-03, 3.818610907E+00, 4.298223495E+01, 6.433508301E+02, 1.544532273E-02
      1322,-7.889649272E-01, 3.180583194E-02, 5.550257862E-02, 5.233554170E-03, 3.190996408E+00, 4.561510086E+01, 5.035001221E+02, 1.225882303E-02
      1323,-1.806215048E-01, 3.183760121E-02, 1.625275879E+03, 8.636472702E+00, 7.437946796E+00,-8.977182388E+00, 1.839149048E+03, 6.555005442E-03
      1324,-8.151995540E-01, 3.184852004E-02, 6.169312447E-02, 5.123152398E-03, 2.041730404E+00, 4.771661758E+01, 3.875915833E+02, 1.010364760E-02
      1325,-8.512355685E-01, 3.193600476E-02, 6.069067121E-02, 4.925659858E-03,-7.797117829E-01, 4.920612335E+01, 3.016383057E+02, 8.992734365E-03
      1326,-8.413940072E-01, 3.195165843E-02, 6.403298676E-02, 5.000886042E-03, 1.626524925E-01, 4.903041077E+01, 3.123795776E+02, 8.998898789E-03
      1327,-9.117539525E-01, 3.195877373E-02, 1.748601347E-02, 4.459796008E-03,-7.418155670E+00, 4.155195618E+01, 6.924172363E+02, 1.607309654E-02
      1328,-8.951151967E-01, 3.196101636E-02, 2.718313783E-02, 4.504318349E-03,-6.343503475E+00, 4.585200119E+01, 4.724214172E+02, 1.238374505E-02
      1329,-7.800801992E-01, 3.196567297E-02, 5.521034449E-02, 5.305880215E-03, 3.464254618E+00, 4.480297852E+01, 5.473043213E+02, 1.302402373E-02
      1330,-9.195482135E-01, 3.201086447E-02, 1.422091573E-02, 4.458597396E-03,-6.862234116E+00, 3.925128174E+01, 8.120870972E+02, 1.849807985E-02
      1331, 1.600106955E-01, 3.203429654E-02, 1.299531372E+03, 8.566596985E+00,-3.351168633E+00,-4.233850479E+00,-7.363018799E+02, 9.289777838E-03
      1332,-8.381788135E-01, 3.204275668E-02, 6.569378078E-02, 5.026638974E-03, 4.431805313E-01, 4.894277573E+01, 3.177597046E+02, 8.960912004E-03
      1333,-8.561859727E-01, 3.208869696E-02, 5.955373496E-02, 4.886368290E-03,-1.307193160E+00, 4.922156906E+01, 3.000863037E+02, 8.915939368E-03
      1334, 1.446511596E-01, 3.210886940E-02, 3.970086719E+04, 1.209670258E+01,-2.924781990E+01,-4.052650452E+01,-7.388306274E+02, 0.000000000E+00
      1335,-1.699831188E-01, 3.211032227E-02, 3.896166406E+04, 1.207137775E+01, 2.927236366E+01,-4.052623367E+01, 1.851010986E+03, 0.000000000E+00
      1336,-8.537512422E-01, 3.213481978E-02, 6.176474690E-02, 4.916961305E-03,-1.043087721E+00, 4.923932266E+01, 2.995027466E+02, 8.824688382E-03
      1337,-7.916418910E-01, 3.216405213E-02, 5.807454139E-02, 5.230881739E-03, 3.132963657E+00, 4.586771774E+01, 4.897542725E+02, 1.164303906E-02
      1338,-7.701944709E-01, 3.220573813E-02, 5.414577574E-02, 5.379701965E-03, 3.712265491E+00, 4.386068726E+01, 5.973157959E+02, 1.392519567E-02
      1339,-8.487473130E-01, 3.220684454E-02, 6.523235142E-02, 4.971457645E-03,-5.236185789E-01, 4.921376419E+01, 3.016643982E+02, 8.706505410E-03
      1340,-7.322245836E-01, 3.221223503E-02, 4.916103184E-02, 5.642590579E-03, 4.041079521E+00, 4.004256058E+01, 7.919163818E+02, 1.926679723E-02
      1341,-1.114063501E+00, 3.225830570E-02, 4.497926217E-03, 4.273649305E-03, 7.636208534E-01, 4.404301453E+01, 5.981470947E+02, 4.336931556E-02
